Game,MoveNum,AI,Column,Time,Nodes,Winner
1,1,0,3,0.005199,27,2
1,2,1,1,0.130075,797,2
1,3,0,3,0.0,50,2
1,4,1,3,0.166638,978,2
1,5,0,1,0.0,40,2
1,6,1,5,0.179852,962,2
1,7,0,3,0.006642,34,2
1,8,1,0,0.077618,397,2
1,9,0,5,0.005254,33,2
1,10,1,6,0.147104,865,2
1,11,0,1,0.0,27,2
1,12,1,0,0.064729,329,2
1,13,0,0,0.0,21,2
1,14,1,1,0.077192,386,2
1,15,0,5,0.006295,34,2
1,16,1,6,0.164454,908,2
1,17,0,6,0.002496,51,2
1,18,1,5,0.186504,736,2
1,19,0,3,0.001186,27,2
1,20,1,0,0.058151,368,2
1,21,0,1,0.0,30,2
1,22,1,6,0.22947,797,2
1,23,0,5,0.02117,36,2
1,24,1,0,0.077528,355,2
1,25,0,6,0.004888,41,2
1,26,1,3,0.069937,381,2
1,27,0,1,0.004205,22,2
1,28,1,5,0.018141,173,2
1,29,0,6,0.014406,16,2
1,30,1,0,0.0,36,2
1,31,0,2,0.0,7,2
1,32,1,2,0.0,20,2
1,33,0,4,0.0,7,2
1,34,1,4,0.015038,24,2
1,35,0,2,0.0,7,2
1,36,1,2,0.0,7,2
2,1,0,3,0.005721,27,2
2,2,1,1,0.135726,797,2
2,3,0,3,0.007841,50,2
2,4,1,3,0.16313,978,2
2,5,0,1,0.00294,40,2
2,6,1,5,0.1649,962,2
2,7,0,3,0.004498,34,2
2,8,1,0,0.061306,397,2
2,9,0,5,0.0,33,2
2,10,1,6,0.144639,865,2
2,11,0,1,0.015751,27,2
2,12,1,0,0.047933,329,2
2,13,0,0,0.0,21,2
2,14,1,1,0.065991,386,2
2,15,0,5,0.0,34,2
2,16,1,6,0.162589,908,2
2,17,0,6,0.0,51,2
2,18,1,5,0.127835,736,2
2,19,0,3,0.0,27,2
2,20,1,0,0.075674,368,2
2,21,0,1,0.006419,30,2
2,22,1,6,0.13968,797,2
2,23,0,5,0.00649,36,2
2,24,1,0,0.058608,355,2
2,25,0,6,0.00642,41,2
2,26,1,3,0.063104,381,2
2,27,0,1,0.004006,22,2
2,28,1,5,0.028008,173,2
2,29,0,6,0.002005,16,2
2,30,1,0,0.006009,36,2
2,31,0,2,0.001001,7,2
2,32,1,2,0.00302,20,2
2,33,0,4,0.001001,7,2
2,34,1,4,0.004006,24,2
2,35,0,2,0.001001,7,2
2,36,1,2,0.0,7,2
3,1,0,3,0.004007,27,2
3,2,1,1,0.126824,797,2
3,3,0,3,0.007009,50,2
3,4,1,3,0.159044,978,2
3,5,0,1,0.0,40,2
3,6,1,5,0.171223,962,2
3,7,0,3,0.005254,34,2
3,8,1,0,0.052494,397,2
3,9,0,5,0.015308,33,2
3,10,1,6,0.144412,865,2
3,11,0,1,0.00121,27,2
3,12,1,0,0.041671,329,2
3,13,0,0,0.016672,21,2
3,14,1,1,0.06112,386,2
3,15,0,5,0.00555,34,2
3,16,1,6,0.15694,908,2
3,17,0,6,0.008573,51,2
3,18,1,5,0.120684,736,2
3,19,0,3,0.005492,27,2
3,20,1,0,0.062065,368,2
3,21,0,1,0.002964,30,2
3,22,1,6,0.135881,797,2
3,23,0,5,0.0,36,2
3,24,1,0,0.063942,355,2
3,25,0,6,0.0,41,2
3,26,1,3,0.061929,381,2
3,27,0,1,0.0,22,2
3,28,1,5,0.026927,173,2
3,29,0,6,0.01751,16,2
3,30,1,0,0.005011,36,2
3,31,0,2,0.001001,7,2
3,32,1,2,0.003004,20,2
3,33,0,4,0.001001,7,2
3,34,1,4,0.003006,24,2
3,35,0,2,0.001002,7,2
3,36,1,2,0.001001,7,2
4,1,0,3,0.004009,27,2
4,2,1,1,0.130232,797,2
4,3,0,3,0.006471,50,2
4,4,1,3,0.158178,978,2
4,5,0,1,0.0,40,2
4,6,1,5,0.16276,962,2
4,7,0,3,0.006292,34,2
4,8,1,0,0.068299,397,2
4,9,0,5,0.002044,33,2
4,10,1,6,0.216577,865,2
4,11,0,1,0.005708,27,2
4,12,1,0,0.12744,329,2
4,13,0,0,0.010046,21,2
4,14,1,1,0.110547,386,2
4,15,0,5,0.007332,34,2
4,16,1,6,0.16999,908,2
4,17,0,6,0.008657,51,2
4,18,1,5,0.123997,736,2
4,19,0,3,0.004894,27,2
4,20,1,0,0.061941,368,2
4,21,0,1,0.004302,30,2
4,22,1,6,0.141349,797,2
4,23,0,5,0.006972,36,2
4,24,1,0,0.059646,355,2
4,25,0,6,0.007601,41,2
4,26,1,3,0.06342,381,2
