Difficulty 1 | AI column 3 | Time 0.0064 | Nodes 8
Difficulty 1 | AI column 3 | Time 0.0000 | Nodes 8
Difficulty 1 | AI column 3 | Time 0.0000 | Nodes 8
Difficulty 1 | AI column 1 | Time 0.0000 | Nodes 8
Difficulty 1 | AI column 1 | Time 0.0035 | Nodes 8
Difficulty 1 | AI column 0 | Time 0.0000 | Nodes 8
Difficulty 1 | AI column 1 | Time 0.0019 | Nodes 8
Difficulty 1 | AI column 2 | Time 0.0000 | Nodes 8
Difficulty 1 | AI column 4 | Time 0.0000 | Nodes 8
Difficulty 1 | AI column 2 | Time 0.0048 | Nodes 8
Difficulty 1 | AI column 3 | Time 0.0000 | Nodes 8
Difficulty 1 | AI column 2 | Time 0.0000 | Nodes 8
Difficulty 1 | AI column 4 | Time 0.0000 | Nodes 8
Difficulty 2 | AI column 2 | Time 0.0063 | Nodes 35
Difficulty 2 | AI column 5 | Time 0.0000 | Nodes 52
Difficulty 2 | AI column 3 | Time 0.0161 | Nodes 40
Difficulty 2 | AI column 2 | Time 0.0160 | Nodes 37
Difficulty 2 | AI column 4 | Time 0.0157 | Nodes 53
Difficulty 2 | AI column 3 | Time 0.0127 | Nodes 45
Difficulty 2 | AI column 2 | Time 0.0157 | Nodes 35
Difficulty 2 | AI column 6 | Time 0.0000 | Nodes 42
Difficulty 2 | AI column 3 | Time 0.0000 | Nodes 30
Difficulty 2 | AI column 6 | Time 0.0000 | Nodes 25
Difficulty 2 | AI column 4 | Time 0.0161 | Nodes 25
Difficulty 2 | AI column 6 | Time 0.0156 | Nodes 18
Difficulty 2 | AI column 6 | Time 0.0177 | Nodes 18
Difficulty 2 | AI column 0 | Time 0.0000 | Nodes 9
Difficulty 2 | AI column 0 | Time 0.0000 | Nodes 11
Difficulty 3 | AI column 1 | Time 0.1461 | Nodes 797
Difficulty 3 | AI column 3 | Time 0.1277 | Nodes 786
Difficulty 3 | AI column 4 | Time 0.1724 | Nodes 1032
Difficulty 3 | AI column 6 | Time 0.2313 | Nodes 1387
Difficulty 3 | AI column 4 | Time 0.1440 | Nodes 863
Difficulty 3 | AI column 4 | Time 0.1017 | Nodes 516
Difficulty 3 | AI column 4 | Time 0.1228 | Nodes 757
Difficulty 3 | AI column 1 | Time 0.0629 | Nodes 392
Difficulty 3 | AI column 0 | Time 0.0245 | Nodes 172
Difficulty 3 | AI column 1 | Time 0.1357 | Nodes 756
Difficulty 3 | AI column 1 | Time 0.0275 | Nodes 151
Difficulty 3 | AI column 2 | Time 0.0280 | Nodes 206
Difficulty 3 | AI column 6 | Time 0.0216 | Nodes 187
Difficulty 3 | AI column 5 | Time 0.0129 | Nodes 58
Difficulty 3 | AI column 2 | Time 0.0000 | Nodes 17
