position,matchup,start_player,winner,moves,avg_time_p1,avg_nodes_p1,avg_time_p2,avg_nodes_p2
A_fork_X,Depth2_vs_Depth4,2,Draw,31,0.003475,19.7,0.051510,296.8
A_fork_X,Depth2_vs_Depth4,1,P1,25,0.003887,22.6,0.068556,412.4
A_fork_X,Depth4_vs_Depth2,2,Draw,31,0.078355,467.6,0.003809,22.6
A_fork_X,Depth4_vs_Depth2,1,P1,29,0.069288,420.9,0.004455,25.7
A_fork_X,Depth2_vs_Depth2,2,P1,28,0.003872,22.6,0.003834,22.6
A_fork_X,Depth2_vs_Depth2,1,Draw,31,0.004011,23.2,0.003704,21.8
A_fork_X,Depth4_vs_Depth4,2,P2,29,0.091813,565.1,0.080748,498.4
A_fork_X,Depth4_vs_Depth4,1,P1,29,0.068673,420.0,0.061763,383.0
B_diag_O,Depth2_vs_Depth4,1,P1,23,0.003185,19.2,0.033817,216.5
B_diag_O,Depth2_vs_Depth4,2,Draw,29,0.002353,15.3,0.021492,137.6
B_diag_O,Depth4_vs_Depth2,1,P1,21,0.050312,316.1,0.004489,26.4
B_diag_O,Depth4_vs_Depth2,2,P1,26,0.040275,244.5,0.003802,21.8
B_diag_O,Depth2_vs_Depth2,1,P1,21,0.003391,20.1,0.003658,22.1
B_diag_O,Depth2_vs_Depth2,2,P1,26,0.003477,20.4,0.003624,21.8
B_diag_O,Depth4_vs_Depth4,1,P1,23,0.049366,310.7,0.050576,323.6
B_diag_O,Depth4_vs_Depth4,2,P2,29,0.025564,159.6,0.029128,180.1
C_vertical,Depth2_vs_Depth4,2,P2,31,0.003498,20.7,0.051345,313.9
C_vertical,Depth2_vs_Depth4,1,P1,31,0.003948,23.5,0.060530,376.8
C_vertical,Depth4_vs_Depth2,2,Draw,32,0.067925,402.1,0.003268,20.5
C_vertical,Depth4_vs_Depth2,1,Draw,32,0.062602,375.1,0.002882,17.4
C_vertical,Depth2_vs_Depth2,2,Draw,32,0.004021,22.8,0.003762,22.5
C_vertical,Depth2_vs_Depth2,1,P2,22,0.005557,33.3,0.005113,29.5
C_vertical,Depth4_vs_Depth4,2,Draw,32,0.045400,279.0,0.050153,304.8
C_vertical,Depth4_vs_Depth4,1,Draw,32,0.062556,375.1,0.048352,296.8
D_balanced,Depth2_vs_Depth4,1,P1,11,0.005525,29.3,0.043819,258.0
D_balanced,Depth2_vs_Depth4,2,P2,1,0.000000,0.0,0.029832,185.0
D_balanced,Depth4_vs_Depth2,1,P1,11,0.052829,312.5,0.004298,26.4
D_balanced,Depth4_vs_Depth2,2,P2,1,0.000000,0.0,0.003122,20.0
D_balanced,Depth2_vs_Depth2,1,P1,27,0.003600,19.1,0.003258,18.4
D_balanced,Depth2_vs_Depth2,2,P2,1,0.000000,0.0,0.003233,20.0
D_balanced,Depth4_vs_Depth4,1,P1,11,0.052433,312.5,0.038343,244.4
D_balanced,Depth4_vs_Depth4,2,P2,1,0.000000,0.0,0.029471,185.0
